ts,symbol,signal,permit,reason
1767226500,BTCUSDT,ENTER_LONG,True,allowed
1767226500,ETHUSDT,ENTER_LONG,True,allowed
1767226500,SOLUSDT,ENTER_LONG,True,allowed
1767231900,BTCUSDT,EXIT_LONG,True,exit
1767231900,ETHUSDT,EXIT_LONG,True,exit
1767231900,SOLUSDT,EXIT_LONG,True,exit
1767232800,BTCUSDT,ENTER_LONG,True,allowed
1767232800,ETHUSDT,ENTER_LONG,True,allowed
1767232800,SOLUSDT,ENTER_LONG,True,allowed
1767233700,BTCUSDT,EXIT_LONG,True,exit
1767233700,ETHUSDT,EXIT_LONG,True,exit
1767233700,SOLUSDT,EXIT_LONG,True,exit
1767234600,BTCUSDT,ENTER_LONG,True,allowed
1767234600,ETHUSDT,ENTER_LONG,True,allowed
1767234600,SOLUSDT,ENTER_LONG,True,allowed
1767240900,BTCUSDT,EXIT_LONG,True,exit
1767240900,ETHUSDT,EXIT_LONG,True,exit
1767240900,SOLUSDT,EXIT_LONG,True,exit
1767241800,BTCUSDT,ENTER_LONG,True,allowed
1767241800,ETHUSDT,ENTER_LONG,True,allowed
1767241800,SOLUSDT,ENTER_LONG,True,allowed
1767242700,BTCUSDT,EXIT_LONG,True,exit
1767242700,ETHUSDT,EXIT_LONG,True,exit
1767242700,SOLUSDT,EXIT_LONG,True,exit
1767243600,BTCUSDT,ENTER_LONG,True,allowed
1767243600,ETHUSDT,ENTER_LONG,True,allowed
1767243600,SOLUSDT,ENTER_LONG,True,allowed
1767249900,BTCUSDT,EXIT_LONG,True,exit
1767249900,ETHUSDT,EXIT_LONG,True,exit
1767249900,SOLUSDT,EXIT_LONG,True,exit
1767250800,BTCUSDT,ENTER_LONG,True,allowed
1767250800,ETHUSDT,ENTER_LONG,True,allowed
1767250800,SOLUSDT,ENTER_LONG,True,allowed
1767251700,BTCUSDT,EXIT_LONG,True,exit
1767251700,ETHUSDT,EXIT_LONG,True,exit
1767251700,SOLUSDT,EXIT_LONG,True,exit
1767252600,BTCUSDT,ENTER_LONG,True,allowed
1767252600,ETHUSDT,ENTER_LONG,True,allowed
1767252600,SOLUSDT,ENTER_LONG,True,allowed
1767258900,BTCUSDT,EXIT_LONG,True,exit
1767258900,ETHUSDT,EXIT_LONG,True,exit
1767258900,SOLUSDT,EXIT_LONG,True,exit
1767259800,BTCUSDT,ENTER_LONG,True,allowed
1767259800,ETHUSDT,ENTER_LONG,True,allowed
1767259800,SOLUSDT,ENTER_LONG,True,allowed
1767260700,BTCUSDT,EXIT_LONG,True,exit
1767260700,ETHUSDT,EXIT_LONG,True,exit
1767260700,SOLUSDT,EXIT_LONG,True,exit
1767261600,BTCUSDT,ENTER_LONG,True,allowed
1767261600,ETHUSDT,ENTER_LONG,True,allowed
1767261600,SOLUSDT,ENTER_LONG,True,allowed
1767267900,BTCUSDT,EXIT_LONG,True,exit
1767267900,ETHUSDT,EXIT_LONG,True,exit
1767267900,SOLUSDT,EXIT_LONG,True,exit
1767268800,BTCUSDT,ENTER_LONG,True,allowed
1767268800,ETHUSDT,ENTER_LONG,True,allowed
1767268800,SOLUSDT,ENTER_LONG,True,allowed
1767269700,BTCUSDT,EXIT_LONG,True,exit
1767269700,ETHUSDT,EXIT_LONG,True,exit
1767269700,SOLUSDT,EXIT_LONG,True,exit
1767270600,BTCUSDT,ENTER_LONG,True,allowed
1767270600,ETHUSDT,ENTER_LONG,True,allowed
1767270600,SOLUSDT,ENTER_LONG,True,allowed
1767276900,BTCUSDT,EXIT_LONG,True,exit
1767276900,ETHUSDT,EXIT_LONG,True,exit
1767276900,SOLUSDT,EXIT_LONG,True,exit
1767277800,BTCUSDT,ENTER_LONG,True,allowed
1767277800,ETHUSDT,ENTER_LONG,True,allowed
1767277800,SOLUSDT,ENTER_LONG,True,allowed
1767278700,BTCUSDT,EXIT_LONG,True,exit
1767278700,ETHUSDT,EXIT_LONG,True,exit
1767278700,SOLUSDT,EXIT_LONG,True,exit
1767279600,BTCUSDT,ENTER_LONG,True,allowed
1767279600,ETHUSDT,ENTER_LONG,True,allowed
1767279600,SOLUSDT,ENTER_LONG,True,allowed
1767285900,BTCUSDT,EXIT_LONG,True,exit
